Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
RIBO-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz	(1, 31.252162400287904)	(2, 31.625905870679293)	(3, 31.652462084549736)	(4, 31.679456739466136)	(5, 31.777849308689685)	(6, 35.399679254859805)	(7, 35.528585340288345)	(8, 35.421883648421975)	(9, 35.41996533278685)	(10, 35.40497800367545)	(12, 35.561407528295064)	(14, 35.535667348761955)	(16, 35.15879088063113)	(18, 35.40101668217185)	(20, 35.37578375675314)	(22, 35.41841879045127)	(24, 35.33218267706221)	(26, 35.21796600571319)	(28, 35.38497709995015)	(30, 35.47184749371409)	(32, 35.34522035671759)	(34, 35.04669983586804)	(36, 35.251347779273296)	(38, 35.32701440961583)	(40, 35.083520176511556)	(42, 34.51506814918444)	(44, 34.6078874582943)	(46, 34.7847213543096)	(48, 34.49004244337239)	(50, 34.92670543701465)	(52, 33.61011856399351)	(54, 31.043351436365327)	(56, 30.55065964141377)	(58, 31.246932580239)	(60, 32.846717934657946)	(62, 31.640513856328887)	(64, 32.58841718920842)	(66, 30.286694226828565)	(68, 28.612962325555056)	(70, 28.982248883625147)	(72, 32.494197657837496)	(74, 34.13153870740874)	(76, 34.1421502037648)
RIBO-RRNA-KO-R1.2-filtered.unmapped.fastq.gz	(1, 31.1369726301175)	(2, 31.54698582114613)	(3, 31.479650885861126)	(4, 31.603939947777796)	(5, 31.722772492089245)	(6, 35.30761530257405)	(7, 35.4859992293075)	(8, 35.20179331292457)	(9, 35.22023745813206)	(10, 35.22577967635084)	(12, 35.443666865653924)	(14, 35.4063033598196)	(16, 35.094526673304486)	(18, 35.26855389323733)	(20, 35.22515723095971)	(22, 35.21621091556736)	(24, 35.261765408605854)	(26, 35.09673707528448)	(28, 35.25460286746254)	(30, 35.387172584501556)	(32, 34.99864020600054)	(34, 34.613439445889085)	(36, 34.539650730672186)	(38, 34.3706680390416)	(40, 34.048834905822034)	(42, 33.66342871540947)	(44, 33.609969351182656)	(46, 33.610381346590046)	(48, 32.32833166884068)	(50, 32.99211651405844)	(52, 32.533002265510916)	(54, 30.512430310292)	(56, 30.320252681579447)	(58, 31.150681524678852)	(60, 32.80469302790682)	(62, 31.59765846603392)	(64, 32.56633965784502)	(66, 30.25819469102598)	(68, 28.580890170962522)	(70, 28.96688243191408)	(72, 32.49332584713136)	(74, 34.13171383990705)	(76, 34.14195430238211)
RIBO-RRNA-KO-R2.0-raw.fastq	(1, 31.12939748602577)	(2, 31.600844196952533)	(3, 31.63311250182938)	(4, 31.676225142356827)	(5, 31.773083384003296)	(6, 35.33026076591943)	(7, 35.5114518172476)	(8, 35.36773250020964)	(9, 35.36709558512889)	(10, 35.380420075397545)	(12, 35.52759411022639)	(14, 35.50976936583736)	(16, 35.229883897760075)	(18, 35.40169953757745)	(20, 35.36660025765956)	(22, 35.34850117606396)	(24, 35.33421833395562)	(26, 35.1701534949203)	(28, 35.292561803938966)	(30, 35.38048801951594)	(32, 35.27608559934624)	(34, 35.10408952250879)	(36, 35.10828011724929)	(38, 35.089221557888585)	(40, 34.926761720544754)	(42, 34.845415990978566)	(44, 34.9835299431593)	(46, 35.03972875639805)	(48, 34.85878735162893)	(50, 35.203764291480844)	(52, 35.196700115884624)	(54, 35.13461489484933)	(56, 35.11677646000442)	(58, 35.111751674101626)	(60, 35.145717794786805)	(62, 35.01854451960888)	(64, 34.66754478552655)	(66, 33.753057036950125)	(68, 33.94874669954396)	(70, 33.778735908196545)	(72, 33.01362483336304)	(74, 33.65806244099353)	(76, 33.029691828834466)
RIBO-RRNA-KO-R2.1-trimmed.SE.paired.trim.fastq.gz	(1, 31.104792401488414)	(2, 31.59908455319977)	(3, 31.598318828160316)	(4, 31.66993570441598)	(5, 31.765041467447602)	(6, 35.337885705124876)	(7, 35.5064671578006)	(8, 35.344257058531085)	(9, 35.35024499846578)	(10, 35.35177087780994)	(12, 35.517488752441665)	(14, 35.4792905548082)	(16, 35.17125669091156)	(18, 35.3878410405554)	(20, 35.35413903514913)	(22, 35.36515626769542)	(24, 35.337377411723395)	(26, 35.19432885558312)	(28, 35.3344699082138)	(30, 35.46056545044253)	(32, 35.33759089247053)	(34, 35.16993948247613)	(36, 35.24248038971328)	(38, 35.24272142763172)	(40, 35.00952408171406)	(42, 34.6247940297051)	(44, 34.79256989805522)	(46, 34.9507892230546)	(48, 34.57749030127717)	(50, 34.92112940426844)	(52, 34.148398604688865)	(54, 31.155793041851638)	(56, 30.366899424551132)	(58, 30.83383836017596)	(60, 32.76817395138274)	(62, 31.198495967484888)	(64, 32.39174640246921)	(66, 30.47236479376319)	(68, 29.26021159426569)	(70, 29.70747095448904)	(72, 32.35602313765855)	(74, 33.88246219671217)	(76, 33.73952009251229)
RIBO-RRNA-KO-R2.2-filtered.unmapped.fastq.gz	(1, 31.009776082527125)	(2, 31.57823722510502)	(3, 31.50599618264125)	(4, 31.621718433214692)	(5, 31.742075727481193)	(6, 35.280839161892565)	(7, 35.48171314330191)	(8, 35.226004672783)	(9, 35.238766887838224)	(10, 35.24159204740698)	(12, 35.45898895360125)	(14, 35.4016612265178)	(16, 35.12017272422575)	(18, 35.293583946130745)	(20, 35.270109731810976)	(22, 35.253513131098316)	(24, 35.29606838304795)	(26, 35.12605595566397)	(28, 35.25125802232363)	(30, 35.39134228768485)	(32, 35.20417669358834)	(34, 35.036992213832974)	(36, 35.062692273931674)	(38, 34.96600250660066)	(40, 34.741105276929545)	(42, 34.43248602054324)	(44, 34.523435531102294)	(46, 34.64044496417128)	(48, 34.01869308123988)	(50, 34.39602400178366)	(52, 33.513180281189165)	(54, 30.47325865460624)	(56, 30.018391183362244)	(58, 30.70394594321383)	(60, 32.712326054412344)	(62, 31.121107109246903)	(64, 32.34264903161072)	(66, 30.40535556831273)	(68, 29.189890144253713)	(70, 29.665684127552556)	(72, 32.358001151050026)	(74, 33.88845434699841)	(76, 33.74260785264178)
RIBO-RRNA-KO-R3.0-raw.fastq	(1, 31.18822821681228)	(2, 31.6322103316742)	(3, 31.666536332990354)	(4, 31.698070362816317)	(5, 31.791276712124724)	(6, 35.35764656940577)	(7, 35.530503672683786)	(8, 35.40672802618979)	(9, 35.39053439062119)	(10, 35.41083470905909)	(12, 35.550513218431185)	(14, 35.52972565564838)	(16, 35.2225550441555)	(18, 35.40687843009135)	(20, 35.36337706521557)	(22, 35.36560934755448)	(24, 35.34565277916472)	(26, 35.16822938709171)	(28, 35.29303737765785)	(30, 35.374598631773225)	(32, 35.23011305787831)	(34, 35.03737958897384)	(36, 35.026183428329794)	(38, 34.977795711495176)	(40, 34.76693890732827)	(42, 34.68906162231136)	(44, 34.974058664576326)	(46, 35.04977629066116)	(48, 34.8720738912021)	(50, 35.20136709265776)	(52, 35.210424758522706)	(54, 35.14015770553434)	(56, 35.08842771574426)	(58, 35.073504733056964)	(60, 35.086905972959315)	(62, 34.921113042005196)	(64, 34.48481917407965)	(66, 33.76798418877031)	(68, 33.925826162692815)	(70, 33.53396373263415)	(72, 32.45884922909684)	(74, 32.94808831774252)	(76, 32.462474405160606)
RIBO-RRNA-KO-R3.1-trimmed.SE.paired.trim.fastq.gz	(1, 31.137994555033462)	(2, 31.63159543863254)	(3, 31.631794420709152)	(4, 31.69365220363237)	(5, 31.78512423002123)	(6, 35.36764665529556)	(7, 35.526753533828696)	(8, 35.3851375107057)	(9, 35.390737104800515)	(10, 35.38313596665499)	(12, 35.543358539631285)	(14, 35.502571007592636)	(16, 35.148231335717966)	(18, 35.387871441463034)	(20, 35.34270946829444)	(22, 35.39126255468734)	(24, 35.35367124410415)	(26, 35.19555284092351)	(28, 35.34480405154988)	(30, 35.473891272669704)	(32, 35.30080794256192)	(34, 35.0262937721839)	(36, 35.186634736010255)	(38, 35.2482866989466)	(40, 34.87668293357616)	(42, 34.328650374769836)	(44, 34.363318650847475)	(46, 34.44778511597475)	(48, 33.84604123893082)	(50, 34.40521774820225)	(52, 33.25655354556187)	(54, 30.746564359313048)	(56, 30.442723089249316)	(58, 31.044833123974865)	(60, 32.8583469407898)	(62, 31.652719461355296)	(64, 32.62479659842208)	(66, 30.49545862406619)	(68, 28.837669966087397)	(70, 29.506065891773872)	(72, 32.50365627573719)	(74, 33.92085895767396)	(76, 33.55154142581888)
RIBO-RRNA-KO-R3.2-filtered.unmapped.fastq.gz	(1, 31.115666104613673)	(2, 31.594536542912806)	(3, 31.508825195688082)	(4, 31.635967548920753)	(5, 31.768101901346117)	(6, 35.35640638668736)	(7, 35.53239845871093)	(8, 35.27999796331368)	(9, 35.278626422653474)	(10, 35.27419478842172)	(12, 35.47743449157745)	(14, 35.44017790989026)	(16, 35.14841909590463)	(18, 35.30291607270287)	(20, 35.26873721152698)	(22, 35.266299468767826)	(24, 35.33731136750514)	(26, 35.14502649386338)	(28, 35.311216695052906)	(30, 35.40181981930976)	(32, 34.96504502452363)	(34, 34.65586917130142)	(36, 34.49065358263361)	(38, 34.4415215861187)	(40, 33.94967235574988)	(42, 33.557834951596334)	(44, 33.39449143246719)	(46, 33.366061461016216)	(48, 31.997971992915225)	(50, 33.01441030475162)	(52, 32.49777281165339)	(54, 30.387451368701804)	(56, 30.314942260904083)	(58, 30.995473330938523)	(60, 32.836421165286836)	(62, 31.62632997182193)	(64, 32.609930464707304)	(66, 30.472824269180023)	(68, 28.808539362209856)	(70, 29.49238321493587)	(72, 32.50372689415123)	(74, 33.9241521780811)	(76, 33.547963946563655)
RNA-HELA-R1.0-raw.fastq	(1, 31.43553217268412)	(2, 31.64900228913106)	(3, 31.739820236286103)	(4, 31.779420862630904)	(5, 31.771500864632465)	(6, 35.513400577075586)	(7, 35.51992949275185)	(8, 35.50443379455756)	(9, 35.495831378230484)	(10, 35.48999552038805)	(12, 35.4843942360857)	(14, 35.46414166245846)	(16, 35.48981809441635)	(18, 35.482098741499414)	(20, 35.4907910232314)	(22, 35.4228102889463)	(24, 35.38024339804346)	(26, 35.364189773819795)	(28, 35.343200396997105)	(30, 35.32345061177388)	(32, 35.3593968979021)	(34, 35.301916183421525)	(36, 35.1936739240457)	(38, 35.19822803580858)	(40, 34.86454645721705)	(42, 34.453310126226285)	(44, 35.01909016694292)	(46, 35.088290548605485)	(48, 35.09307647120688)	(50, 35.01668648465285)	(52, 34.8856772440059)	(54, 34.77090688379556)	(56, 34.69813694426085)	(58, 34.650695080193465)	(60, 34.65952257133388)	(62, 34.6059711324382)	(64, 34.68392420276814)	(66, 34.5924323038783)	(68, 34.64776940251519)	(70, 34.614125261634044)	(72, 34.44882272284168)	(74, 33.40877367743889)	(76, 33.78741466201109)
RNA-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(1, 31.432240894568963)	(2, 31.665042537979758)	(3, 31.734666580065987)	(4, 31.772357017155294)	(5, 31.764682622204347)	(6, 35.53420913936538)	(7, 35.53286444424958)	(8, 35.47875950122542)	(9, 35.47566208084433)	(10, 35.491468516851924)	(12, 35.48775286253257)	(14, 35.48497867186762)	(16, 35.489862240111194)	(18, 35.48618039795043)	(20, 35.48243163976592)	(22, 35.45308633381785)	(24, 35.418850305862364)	(26, 35.382665656380496)	(28, 35.365787510406605)	(30, 35.34238546102332)	(32, 35.36905662325769)	(34, 35.324587355177854)	(36, 35.278812888047256)	(38, 35.26127911160144)	(40, 35.232224787429715)	(42, 35.085469585044436)	(44, 35.02262146145988)	(46, 35.31396638421537)	(48, 35.32072443119378)	(50, 35.335998199923736)	(52, 35.284268599339434)	(54, 35.21113835086361)	(56, 35.175458122516645)	(58, 35.137568470204506)	(60, 35.147952929766305)	(62, 35.1040905774198)	(64, 35.161166728474555)	(66, 35.14013473744209)	(68, 35.17395644231483)	(70, 35.16656455173812)	(72, 35.17904811421836)	(74, 35.30150560095733)	(76, 35.08394108743557)
