Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
RIBO-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz	(1, 31.26712823208646)	(2, 31.624424606781293)	(3, 31.67025030030393)	(4, 31.68366592377521)	(5, 31.782472603095275)	(6, 35.3888436561326)	(7, 35.53124864223553)	(8, 35.4283254509875)	(9, 35.414440742311655)	(10, 35.416135866985755)	(12, 35.56320170325333)	(14, 35.547769340829426)	(16, 35.20292612889389)	(18, 35.407730585241964)	(20, 35.381427286789915)	(22, 35.39116979235685)	(24, 35.32352541576855)	(26, 35.18827438164344)	(28, 35.34168648935759)	(30, 35.40451542215956)	(32, 35.29802756347572)	(34, 35.11452380074908)	(36, 35.190629649404386)	(38, 35.089647658439404)	(40, 34.94601161945454)	(42, 34.90156462250306)	(44, 35.05718379560611)	(46, 35.12116015535631)	(48, 34.96098109902806)	(50, 35.32330777373746)	(52, 35.33683662595994)	(54, 35.284901992632804)	(56, 35.28278770967981)	(58, 35.25799693612837)	(60, 35.30373327357809)	(62, 35.10015606739523)	(64, 34.95798112000446)	(66, 34.36588391736804)	(68, 34.54720911395654)	(70, 34.28624667960242)	(72, 33.20366384973631)	(74, 33.97852263930372)	(76, 33.601462166769224)
RIBO-RRNA-KO-R1.2-filtered.unmapped.fastq.gz	(1, 31.270896445803437)	(2, 31.626688276158742)	(3, 31.672580663817783)	(4, 31.685503337843368)	(5, 31.78351045364898)	(6, 35.39041553646031)	(7, 35.53288013836303)	(8, 35.43087503776579)	(9, 35.417376650535736)	(10, 35.41892562658737)	(12, 35.56544966426016)	(14, 35.55022082596351)	(16, 35.20722373131632)	(18, 35.41078778106605)	(20, 35.385172362246266)	(22, 35.39512973035015)	(24, 35.328255679041305)	(26, 35.195988416220715)	(28, 35.349502268141975)	(30, 35.41254398623942)	(32, 35.308939827302595)	(34, 35.12719628000505)	(36, 35.20432699736364)	(38, 35.10195229330185)	(40, 34.95511045436031)	(42, 34.907137961930104)	(44, 35.061085239389115)	(46, 35.12355574208283)	(48, 34.96261360306893)	(50, 35.32439359165038)	(52, 35.33752393170089)	(54, 35.28546499664318)	(56, 35.28339350963819)	(58, 35.25839995535821)	(60, 35.303953341689)	(62, 35.10036170274671)	(64, 34.95811007158994)	(66, 34.36598872588385)	(68, 34.54726906572051)	(70, 34.28627923035375)	(72, 33.20367878963894)	(74, 33.97852598507213)	(76, 33.60146108697785)
RIBO-RRNA-KO-R2.0-raw.fastq	(1, 31.12939748602577)	(2, 31.600844196952533)	(3, 31.63311250182938)	(4, 31.676225142356827)	(5, 31.773083384003296)	(6, 35.33026076591943)	(7, 35.5114518172476)	(8, 35.36773250020964)	(9, 35.36709558512889)	(10, 35.380420075397545)	(12, 35.52759411022639)	(14, 35.50976936583736)	(16, 35.229883897760075)	(18, 35.40169953757745)	(20, 35.36660025765956)	(22, 35.34850117606396)	(24, 35.33421833395562)	(26, 35.1701534949203)	(28, 35.292561803938966)	(30, 35.38048801951594)	(32, 35.27608559934624)	(34, 35.10408952250879)	(36, 35.10828011724929)	(38, 35.089221557888585)	(40, 34.926761720544754)	(42, 34.845415990978566)	(44, 34.9835299431593)	(46, 35.03972875639805)	(48, 34.85878735162893)	(50, 35.203764291480844)	(52, 35.196700115884624)	(54, 35.13461489484933)	(56, 35.11677646000442)	(58, 35.111751674101626)	(60, 35.145717794786805)	(62, 35.01854451960888)	(64, 34.66754478552655)	(66, 33.753057036950125)	(68, 33.94874669954396)	(70, 33.778735908196545)	(72, 33.01362483336304)	(74, 33.65806244099353)	(76, 33.029691828834466)
RIBO-RRNA-KO-R2.1-trimmed.SE.paired.trim.fastq.gz	(1, 31.12939748602577)	(2, 31.600844196952533)	(3, 31.63311250182938)	(4, 31.676225142356827)	(5, 31.773083384003296)	(6, 35.33026076591943)	(7, 35.5114518172476)	(8, 35.36773250020964)	(9, 35.36709558512889)	(10, 35.380420075397545)	(12, 35.52759411022639)	(14, 35.50976936583736)	(16, 35.229883897760075)	(18, 35.40169953757745)	(20, 35.36660025765956)	(22, 35.34850250412198)	(24, 35.33422024719149)	(26, 35.17016035136538)	(28, 35.29498310228908)	(30, 35.38823654539746)	(32, 35.292368575345456)	(34, 35.12969906264673)	(36, 35.142898205673255)	(38, 35.14195259274055)	(40, 35.00587513514698)	(42, 34.93266636359145)	(44, 35.082384715421476)	(46, 35.142061028026305)	(48, 34.977975548208285)	(50, 35.32895282190495)	(52, 35.34415224555852)	(54, 35.30641035874943)	(56, 35.30329703627496)	(58, 35.305911718654414)	(60, 35.34515445580543)	(62, 35.2420519714947)	(64, 34.916231146383154)	(66, 34.028212576065506)	(68, 34.24589545550796)	(70, 34.16968924668301)	(72, 33.54038725190253)	(74, 34.50973834332969)	(76, 34.32489320889277)
RIBO-RRNA-KO-R2.2-filtered.unmapped.fastq.gz	(1, 31.134148090778318)	(2, 31.603905784626914)	(3, 31.63602545026732)	(4, 31.678428766973052)	(5, 31.774159732549414)	(6, 35.33172187182157)	(7, 35.51317574869761)	(8, 35.37047620391293)	(9, 35.369849271677886)	(10, 35.38321788417125)	(12, 35.52983352722963)	(14, 35.51183144747406)	(16, 35.233206191641266)	(18, 35.404824674399705)	(20, 35.36971151325119)	(22, 35.35182727130609)	(24, 35.338631429178136)	(26, 35.178210854849745)	(28, 35.305392801961126)	(30, 35.397854965208765)	(32, 35.30369027161316)	(34, 35.14215321757689)	(36, 35.155210888500456)	(38, 35.1504533536228)	(40, 35.012378434177236)	(42, 34.936833568390156)	(44, 35.08528811647322)	(46, 35.143985534698054)	(48, 34.97964716059511)	(50, 35.32994880468388)	(52, 35.34489618427251)	(54, 35.30712736204458)	(56, 35.30398306666396)	(58, 35.30637704397056)	(60, 35.345396951875586)	(62, 35.242292792492435)	(64, 34.91637880540511)	(66, 34.02832601648339)	(68, 34.245970746367135)	(70, 34.169728439457)	(72, 33.54042394568243)	(74, 34.50975978741769)	(76, 34.32491399832019)
RIBO-RRNA-KO-R3.0-raw.fastq	(1, 31.18822821681228)	(2, 31.6322103316742)	(3, 31.666536332990354)	(4, 31.698070362816317)	(5, 31.791276712124724)	(6, 35.35764656940577)	(7, 35.530503672683786)	(8, 35.40672802618979)	(9, 35.39053439062119)	(10, 35.41083470905909)	(12, 35.550513218431185)	(14, 35.52972565564838)	(16, 35.2225550441555)	(18, 35.40687843009135)	(20, 35.36337706521557)	(22, 35.36560934755448)	(24, 35.34565277916472)	(26, 35.16822938709171)	(28, 35.29303737765785)	(30, 35.374598631773225)	(32, 35.23011305787831)	(34, 35.03737958897384)	(36, 35.026183428329794)	(38, 34.977795711495176)	(40, 34.76693890732827)	(42, 34.68906162231136)	(44, 34.974058664576326)	(46, 35.04977629066116)	(48, 34.8720738912021)	(50, 35.20136709265776)	(52, 35.210424758522706)	(54, 35.14015770553434)	(56, 35.08842771574426)	(58, 35.073504733056964)	(60, 35.086905972959315)	(62, 34.921113042005196)	(64, 34.48481917407965)	(66, 33.76798418877031)	(68, 33.925826162692815)	(70, 33.53396373263415)	(72, 32.45884922909684)	(74, 32.94808831774252)	(76, 32.462474405160606)
RIBO-RRNA-KO-R3.1-trimmed.SE.paired.trim.fastq.gz	(1, 31.18822821681228)	(2, 31.6322103316742)	(3, 31.666536332990354)	(4, 31.698070362816317)	(5, 31.791276712124724)	(6, 35.35764656940577)	(7, 35.530503672683786)	(8, 35.40672802618979)	(9, 35.39053439062119)	(10, 35.41083470905909)	(12, 35.550513218431185)	(14, 35.52972565564838)	(16, 35.2225550441555)	(18, 35.40687843009135)	(20, 35.36337706521557)	(22, 35.36560934755448)	(24, 35.34565615272413)	(26, 35.16824097442836)	(28, 35.29555543286372)	(30, 35.38237241075216)	(32, 35.246362480250156)	(34, 35.07643270067282)	(36, 35.076098042929566)	(38, 35.03575390215154)	(40, 34.845789024699585)	(42, 34.782713823811676)	(44, 35.07965249513349)	(46, 35.15351593717732)	(48, 35.00023714455811)	(50, 35.33679109429845)	(52, 35.37533333486026)	(54, 35.33388479282684)	(56, 35.3018051138946)	(58, 35.295002175096414)	(60, 35.31868436842423)	(62, 35.190863891119335)	(64, 34.80488006769987)	(66, 34.16354976177672)	(68, 34.38946428768857)	(70, 34.12709910608574)	(72, 33.28131248267741)	(74, 34.26613292800005)	(76, 34.27949532758961)
RIBO-RRNA-KO-R3.2-filtered.unmapped.fastq.gz	(1, 31.192326228690824)	(2, 31.634950878688002)	(3, 31.66890619081779)	(4, 31.700218219705988)	(5, 31.792386193842905)	(6, 35.35915981462818)	(7, 35.53241519117484)	(8, 35.40921567608863)	(9, 35.393123945162685)	(10, 35.41359080225168)	(12, 35.55285815575868)	(14, 35.53186652525288)	(16, 35.22605300089529)	(18, 35.41005021275744)	(20, 35.36696549047127)	(22, 35.3695258046106)	(24, 35.35067344081358)	(26, 35.17710944350212)	(28, 35.305374570236125)	(30, 35.39187453673523)	(32, 35.257315851790196)	(34, 35.087786394253925)	(36, 35.08751952948237)	(38, 35.04495739858133)	(40, 34.85115908108348)	(42, 34.786197099023525)	(44, 35.082104796707185)	(46, 35.15494672275538)	(48, 35.00127522624935)	(50, 35.33747094244991)	(52, 35.37575674769252)	(54, 35.33424168847185)	(56, 35.3021233941205)	(58, 35.29522517349058)	(60, 35.31880519965625)	(62, 35.19097948370267)	(64, 34.80494456039262)	(66, 34.16360695862983)	(68, 34.38949792988953)	(70, 34.12712078354957)	(72, 33.28132664417684)	(74, 34.26614028059192)	(76, 34.27949873920848)
RNA-HELA-R1.0-raw.fastq	(1, 31.43553217268412)	(2, 31.64900228913106)	(3, 31.739820236286103)	(4, 31.779420862630904)	(5, 31.771500864632465)	(6, 35.513400577075586)	(7, 35.51992949275185)	(8, 35.50443379455756)	(9, 35.495831378230484)	(10, 35.48999552038805)	(12, 35.4843942360857)	(14, 35.46414166245846)	(16, 35.48981809441635)	(18, 35.482098741499414)	(20, 35.4907910232314)	(22, 35.4228102889463)	(24, 35.38024339804346)	(26, 35.364189773819795)	(28, 35.343200396997105)	(30, 35.32345061177388)	(32, 35.3593968979021)	(34, 35.301916183421525)	(36, 35.1936739240457)	(38, 35.19822803580858)	(40, 34.86454645721705)	(42, 34.453310126226285)	(44, 35.01909016694292)	(46, 35.088290548605485)	(48, 35.09307647120688)	(50, 35.01668648465285)	(52, 34.8856772440059)	(54, 34.77090688379556)	(56, 34.69813694426085)	(58, 34.650695080193465)	(60, 34.65952257133388)	(62, 34.6059711324382)	(64, 34.68392420276814)	(66, 34.5924323038783)	(68, 34.64776940251519)	(70, 34.614125261634044)	(72, 34.44882272284168)	(74, 33.40877367743889)	(76, 33.78741466201109)
RNA-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(1, 31.43553217268412)	(2, 31.64900228913106)	(3, 31.739820236286103)	(4, 31.779420862630904)	(5, 31.771500864632465)	(6, 35.513400577075586)	(7, 35.51992949275185)	(8, 35.50443379455756)	(9, 35.495831378230484)	(10, 35.48999552038805)	(12, 35.4843942360857)	(14, 35.46414166245846)	(16, 35.48981809441635)	(18, 35.482098741499414)	(20, 35.49080427260867)	(22, 35.42318165888169)	(24, 35.3803160948129)	(26, 35.364357692507255)	(28, 35.344853039400036)	(30, 35.32763260191358)	(32, 35.36630925536555)	(34, 35.31269121487563)	(36, 35.21644047041656)	(38, 35.244587444625076)	(40, 34.945307758116456)	(42, 34.58420263504141)	(44, 35.194520143560126)	(46, 35.29416831084446)	(48, 35.33162652172456)	(50, 35.29348237910239)	(52, 35.202944107845994)	(54, 35.12405880339504)	(56, 35.08982600431496)	(58, 35.061442767352126)	(60, 35.100343309477424)	(62, 35.07594058607878)	(64, 35.174657382306044)	(66, 35.111916985039635)	(68, 35.18672798352959)	(70, 35.232933982369)	(72, 35.21374194650201)	(74, 34.753555489036444)	(76, 35.26692129495901)
